Iteration,Chemo_Cost,Chemo_Eff,Radio_Cost,Radio_Eff,Surg_Cost,Surg_Eff,pFailChemo,pFailRadio,pFailSurg,pDieSurg,muDieCancer,cChemo,cRadio,cSurg
1,33682.76318,12.72800982,8942.487983,12.1306261,29705.66195,11.26313073,0.391044642,0.500789452,0.126383067,0.098936727,0.112847117,22569.1156,5307.441497,29705.66195
2,30130.873,9.853469994,19704.84176,9.855394207,28565.46128,10.1938097,0.424971385,0.417612111,0.03603596,0.087641931,0.285368588,21018.23217,13924.65588,28565.46128
3,26838.93749,10.05273087,13249.54841,10.01171083,22429.60522,9.831963835,0.457568886,0.454611303,0.043339276,0.138905281,0.257338615,17874.36864,8926.63192,22429.60522
4,28671.2996,11.67803721,21505.01934,11.01362374,28498.20037,10.85667469,0.474244324,0.557399024,0.048651452,0.142574384,0.150473196,17687.31637,12215.14548,28498.20037
5,31540.26399,10.75946934,13163.10491,10.75371852,12835.13633,10.57467223,0.48350178,0.470487515,0.053078722,0.117845615,0.200902128,19810.27699,8491.707244,12835.13633
6,32618.47637,12.30979688,17059.54375,11.81602432,42954.15797,11.98426703,0.403360756,0.486367222,0.092682981,0.040839402,0.133474835,21747.02212,10426.23899,42954.15797
7,34377.1285,12.52549318,10761.16063,12.17810219,11433.10805,12.48328272,0.443938275,0.492794457,0.031328596,0.062875273,0.112799814,21558.65692,6448.647663,11433.10805
8,26106.22418,10.25596123,15815.41681,9.955072277,31240.45268,9.883317866,0.407833619,0.451427822,0.063733554,0.115136854,0.262825787,18353.42427,10715.35953,31240.45268
9,26918.19131,11.59375416,7763.687649,11.52495975,24595.49297,10.58450747,0.426074029,0.426360947,0.067940889,0.135568339,0.169152714,17778.99604,5173.267171,24595.49297
10,23723.93979,10.28106019,14828.85107,10.38488297,33950.70521,10.65487601,0.479626337,0.451452557,0.076482826,0.064771566,0.232803599,15232.43673,9910.765033,33950.70521
11,32765.03718,12.32019061,16428.51478,11.61535289,29976.92212,11.08621256,0.478185104,0.569796983,0.127440999,0.109585282,0.115461919,19687.02554,8976.000708,29976.92212
12,27441.24921,10.17350193,14572.00708,9.480982842,13015.99657,10.72668203,0.433978083,0.52845286,0.042980449,0.059759832,0.258475639,18744.8748,9116.555978,13015.99657
13,24797.2264,9.606162257,18379.92983,8.596789455,20667.4197,9.648300958,0.446961717,0.576735492,0.078274511,0.097769226,0.29427211,16987.01963,11171.34534,20667.4197
14,31309.054,10.59697603,26994.45235,9.406818631,20495.30898,10.49996021,0.470141306,0.61210204,0.065076207,0.102165742,0.216037827,20137.13316,15047.79554,20495.30898
15,23267.2652,10.5162796,13374.03911,9.56494225,10962.43747,10.2010343,0.400989373,0.539208103,0.069087118,0.097211353,0.246893599,16364.26909,8221.5746,10962.43747
16,28723.58613,9.484623941,20398.80748,9.24549802,24767.83162,9.678635776,0.478075759,0.50363666,0.038977441,0.128613146,0.288953223,19015.17627,13291.32418,24767.83162
17,32260.99873,9.559930396,5538.891747,8.668202327,15741.62803,9.916108076,0.396575619,0.526850142,0.06402881,0.059948748,0.320228112,23451.46373,3584.345979,15741.62803
18,29216.54717,12.69311453,17376.62464,12.37500601,30699.35574,12.04501574,0.415889693,0.467444198,0.060412753,0.081369003,0.109856509,18954.93252,10716.88876,30699.35574
19,28316.74256,11.75843386,11745.99741,11.31765341,46170.43629,10.31792384,0.371953977,0.449953742,0.058074917,0.159509,0.173809404,19932.76548,7644.192223,46170.43629
20,31491.41581,12.14153429,19984.03441,11.3772519,48881.2029,11.49435807,0.424475004,0.54041442,0.022091738,0.120222956,0.137979389,20512.52172,11488.47308,48881.2029
